Article Title,Link,Category,UUID,NID
Commentary: The plight of the hidden carers in your workforce,https://www.channelnewsasia.com/commentary/caregiver-parent-care-leave-ageing-seniors-burnout-3777101,,2afca561-604d-4df4-bf7f-8d32961fc4b7,3777101
Commentary: Should we be worried about mandarin ducks and parakeets squeezing out Singapore’s native birds?,https://www.channelnewsasia.com/commentary/singapore-bird-mandarin-duck-parakeet-native-invasive-3771581,,e616a4e1-0b0d-4cb5-af39-94acb3747b3f,3771581
Commentary: China is so far ahead in the EV market it’s a warning for Europe,https://www.channelnewsasia.com/commentary/china-ev-electric-vehicle-batteries-market-europe-3773401,,be895615-e186-4a76-b55a-0fc08ae26a87,3773401
Taiwan's TSMC to help train German students for semiconductor careers,https://www.channelnewsasia.com/business/taiwans-tsmc-help-train-german-students-semiconductor-careers-3782786,,46b2bce6-3439-4ad4-bacd-2fd5138926c4,3782786
"China files appeal against WTO panel report on US steel, aluminium tariffs",https://www.channelnewsasia.com/business/china-files-appeal-against-wto-panel-report-us-steel-aluminium-tariffs-3783066,,465617f9-9b1c-4da1-b6b9-1d243788cc2b,3783066
"Country Garden, Sunac debt deals bring respite for China's property sector",https://www.channelnewsasia.com/business/country-garden-debt-deal-extend-payment-bond-china-3781736,,6dc5dac3-82f6-4fce-ab8e-4f180e9ddb85,3781736
Google announces new Bard features as traffic continues to lag ChatGPT,https://www.channelnewsasia.com/business/google-announces-new-bard-features-traffic-continues-lag-chatgpt-3782401,,842ba1a4-de8c-49fc-a765-f4c9a2f803b6,3782401
"Hitachi seeks EU okay for Thales deal with asset sales in France, Germany",https://www.channelnewsasia.com/business/hitachi-seeks-eu-okay-thales-deal-asset-sales-france-germany-3780746,,9fa22106-da1d-478e-8b1c-c7d46e95fa85,3780746
Israeli PM Netanyahu urges Musk to fight anti-Semitism,https://www.channelnewsasia.com/world/israeli-pm-netanyahu-urges-musk-fight-anti-semitism-3780616,,c9687ef6-99ed-4d81-89c4-4fddab7207bb,3780616
Portugal's telecom watchdog working with operators to bar Huawei,https://www.channelnewsasia.com/business/portugals-telecom-watchdog-working-operators-bar-huawei-3780436,,5e5b468a-a36b-4734-b1a1-f58d5cbf9c5b,3780436
Hyundai Motor's South Korea union accepts 12% wage hike deal,https://www.channelnewsasia.com/business/hyundai-motors-south-korea-union-accepts-12-wage-hike-deal-3780101,,92a74074-fc74-474d-a050-d8b1a136c80f,3780101
Arm Holdings options draw robust trading volume as shares slide,https://www.channelnewsasia.com/business/arm-holdings-options-draw-robust-trading-volume-shares-slide-3780331,,e5c9ff7e-61a1-4c92-a74f-cea5c5db0f09,3780331
Actors Hong Ling and Nick Teo announce their wedding date – will they have time to plan?,https://www.channelnewsasia.com/entertainment/hong-ling-nick-teo-wedding-date-when-where-3779346,,1e7cfef5-207d-4d35-8921-f8e98389f2ef,3779346
Dermal fillers and blindness: What causes it? Can it be reversed? What are the signs that something is wrong?,https://www.channelnewsasia.com/wellness/dermal-fillers-blindness-vascular-occlusion-blood-vessel-blockage-3775666,,487ac89d-7b55-4024-8606-16ce76f5d9bc,3775666
Watch late Taiwanese actor Alien Huang in trailer for romantic comedy Fat Hope,https://www.channelnewsasia.com/entertainment/alien-huang-fat-hope-trailer-3781326,,f00c6b96-8393-4388-b638-9db50e6fd9d8,3781326
This hidden bakery at Coronation Plaza sells S$2 pastries and agar agar mooncakes,https://www.channelnewsasia.com/dining/food-mapping-tarts-cakes-coronation-plaza-3781451,,fc031bc1-2355-4818-b21f-db64b3db81c0,3781451
"Actor Daniel Wu developing comic book series, plans to star in its TV and movie adaptations",https://www.channelnewsasia.com/entertainment/daniel-wu-evermind-comic-book-kickstarter-3781576,,d3808ff9-3a7f-4450-be5d-fde57c03b0dd,3781576
New restaurant Bacata explores Colombian food and what it has in common with nasi lemak,https://www.channelnewsasia.com/dining/bacata-colombian-restaurant-singapore-3761551,,13eb3e89-4bb4-4302-8768-930b18548a70,3761551
"At this private island resort in the Maldives, it’s hard to get away",https://www.channelnewsasia.com/experiences/luxury-resort-velaa-private-island-maldives-3778326,,a8d45d48-1dda-4285-a89e-22975c52011a,3778326
Empoli sack Zanetti after Roma hammering,https://www.channelnewsasia.com/sport/empoli-sack-zanetti-after-roma-hammering-3782706,,2ca76b54-8d29-4842-ac92-d3ec44aaa55f,3782706
Britain drawn to face Serbia in Davis Cup Final 8,https://www.channelnewsasia.com/sport/britain-drawn-face-serbia-davis-cup-final-8-3782716,,0916a04f-d378-4f41-8bec-786144d15b16,3782716
North Korea win on return to international football,https://www.channelnewsasia.com/sport/north-korea-win-return-international-football-3782541,,e8ec51e0-dfdf-4c1e-9c63-ce5d3356c60e,3782541
Spain players reiterate strike intention despite national call-up,https://www.channelnewsasia.com/sport/spain-players-reiterate-strike-intention-despite-national-call-3780871,,aedb998d-21b4-4cc6-a1cc-9846f2923d67,3780871
"Liverpool will give Europa League full respect, says Klopp",https://www.channelnewsasia.com/sport/liverpool-will-give-europa-league-full-respect-says-klopp-3781976,,7aec416c-9517-4f82-b077-44c7d0665327,3781976
Spanish court throws out Rubiales' pre-kiss defamation lawsuit,https://www.channelnewsasia.com/sport/spanish-court-throws-out-rubiales-pre-kiss-defamation-lawsuit-3780136,,41383a06-1f0a-48ed-8409-7b55ed5a622f,3780136
Iranians give Ronaldo rapturous welcome in Tehran,https://www.channelnewsasia.com/sport/iranians-give-ronaldo-rapturous-welcome-tehran-3780106,,2225bbbd-18e6-4769-a2dd-1c9006b49422,3780106
"She met over 100 guys but didn’t find love. In China, marriage is pie in the sky for many more",https://www.channelnewsasia.com/cna-insider/finding-love-china-young-chinese-low-marriage-rate-3773561,,05b71558-1dd5-4483-8b43-2e7f63e6dd64,3773561
"She has a master’s but no job and lives on discount coupons. In China, there are many like her",https://www.channelnewsasia.com/cna-insider/china-youth-unemployment-jobless-degree-masters-holder-economy-3755506,,2ddb1ccc-dc9c-4597-af2f-f75e820392f5,3755506
‘Save us from this curse’: Villagers fear eviction as Indonesia’s new capital Nusantara takes form,https://www.channelnewsasia.com/cna-insider/indonesia-capital-nusantara-villagers-indigenous-land-rights-compensation-jobs-3734986,,0a109206-59f8-452c-86ad-f0b5401d322b,3734986
"Amid green jobs boom, some Singapore youths score dream gigs, others have a bumpy ride",https://www.channelnewsasia.com/cna-insider/singapore-youths-green-jobs-careers-economy-sustainability-climate-change-3723711,,e7ec762b-9285-46d4-bcce-1cb0a4394210,3723711
Is recycling plastic pointless? Hard truths about what happens to your recyclable waste,https://www.channelnewsasia.com/cna-insider/plastic-recycling-rate-singapore-exports-bottled-water-safe-3723811,,1ee313a1-61e6-4fa8-a415-df92ed561cb2,3723811
Singaporeans on non-voter list for future elections will be individually informed via mail and Singpass | Video,https://www.channelnewsasia.com/watch/singaporeans-non-voter-list-future-elections-will-be-individually-informed-mail-and-singpass-video-3783146,Singapore,8b21f4c1-7016-48ce-8576-bb59e0a9e130,3783146
"MPs call for equal parental leave, better work culture as Bill passed to double paternity leave to 4 weeks | Video",https://www.channelnewsasia.com/watch/mps-call-equal-parental-leave-better-work-culture-bill-passed-double-paternity-leave-4-weeks-video-3783126,Singapore,548adae7-599e-4dac-a79c-6070a5e8cba7,3783126
Your Brain - Who's In Control,https://www.channelnewsasia.com/watch/your-brain/whos-control-3781146,Watch,4ccbb096-8020-4cce-8b0c-16e2e1ad5778,3781146
Parliament highlights: Sep 19,https://www.channelnewsasia.com/watch/parliament-highlights-sep-19-3783046,News Video Reports,dac8c64a-264c-45ad-899d-0f726a66ceda,3783046
Adjournment motion on keeping workplaces safe after Heightened Safety Period ,https://www.channelnewsasia.com/watch/adjournment-motion-keeping-workplaces-safe-after-heightened-safety-period-3782601,News Video Reports,b69362c5-eb30-426a-8f36-57376747a69e,3782601
Hazel Poa on motion for Parliament to authorise back payment of allowance of MP under suspension,https://www.channelnewsasia.com/watch/hazel-poa-motion-parliament-authorise-back-payment-allowance-mp-under-suspension-3782566,News Video Reports,844fdf1d-f80a-4bbe-a1c5-d8ffd5f4059e,3782566
Vote on motions related to Parliament’s handling of MPs under investigation,https://www.channelnewsasia.com/watch/vote-motions-related-parliaments-handling-mps-under-investigation-3782586,News Video Reports,bef8b999-de38-4b4c-9c6f-002fb70167bd,3782586
Indranee Rajah and Hazel Poa respond to clarifications sought by Members of the House,https://www.channelnewsasia.com/watch/indranee-rajah-and-hazel-poa-respond-clarifications-sought-members-house-3782571,News Video Reports,46d59ba5-0b5a-4544-90e7-53509f3a49cc,3782571
Podcast: Climate change is the new enemy for militaries - Retired 3-star British general,https://www.channelnewsasia.com/listen/climate-conversations/climate-change-new-enemy-militaries-retired-3-star-british-general-3769341,,895d5050-19fc-4d65-b87d-25fdce7d6492,3769341
Podcast: How worried should we be over treated nuclear wastewater from Fukushima?,https://www.channelnewsasia.com/listen/cna-correspondent/how-worried-should-we-be-over-treated-nuclear-wastewater-fukushima-3766111,,c44952fb-8878-4f56-8931-c8aed28d33d1,3766111
Podcast: Is owning a second property in Singapore worth the cost?,https://www.channelnewsasia.com/listen/money-talks/owning-second-property-singapore-worth-cost-3763311,,35357de1-f663-4235-8e38-1c4189251cfe,3763311
Podcast: Wired Differently - Managing dyslexia in a job with lots of reading and writing,https://www.channelnewsasia.com/listen/work-it/wired-differently-managing-dyslexia-job-lots-reading-and-writing-3760796,,c38cfb01-70e2-4254-a6b2-d9803a6f86b4,3760796
Podcast: Why is there a US-China power play for the Pacific Islands?,https://www.channelnewsasia.com/listen/cna-correspondent/us-china-power-play-pacific-islands-3754931,,38e002e0-8169-432c-b751-0e35f6e8c041,3754931
"At UN General Assembly, Biden asks world to stand by Ukraine",https://www.channelnewsasia.com/world/un-general-assembly-biden-asks-world-stand-ukraine-3782196,World,fb6dadd5-a20b-46ec-a942-acee3bdcad81,3782196
China asks consulates in Hong Kong to give details on local staff,https://www.channelnewsasia.com/asia/china-asks-consulates-hong-kong-give-details-local-staff-3783196,Asia,46dd6d6b-c919-43ee-8392-46e8564abc2c,3783196
'Cybersecurity incident' hits International Criminal Court,https://www.channelnewsasia.com/world/cybersecurity-incident-hits-international-criminal-court-3783211,World,b58d6f20-95b9-45d6-818d-b2c981b091e0,3783211
"Putin and Xi to meet in Beijing in October, Russia says ",https://www.channelnewsasia.com/world/putin-xi-meet-october-russia-china-3782246,World,4e3ec05a-db5a-4a2e-b8a0-a7227ffcde70,3782246
"Climate change, conflict made Libya deluge more likely: Study",https://www.channelnewsasia.com/world/libya-floods-climate-change-conflict-derna-likely-research-3782936,World,05d87415-5526-46d7-bd66-4c3330578ef5,3782936
"China files appeal against WTO panel report on US steel, aluminium tariffs",https://www.channelnewsasia.com/business/china-files-appeal-against-wto-panel-report-us-steel-aluminium-tariffs-3783066,Business,465617f9-9b1c-4da1-b6b9-1d243788cc2b,3783066
UK says no evidence of political bank account closures,https://www.channelnewsasia.com/world/uk-says-no-evidence-political-bank-account-closures-3783016,World,facf006e-9fa2-4d4c-b138-a28c008b2a32,3783016
Philippines activists freed after alleged military abduction,https://www.channelnewsasia.com/asia/philippines-activists-freed-after-alleged-military-abduction-3782986,Asia,1303091a-215e-46fe-9463-487c3b6624e3,3782986
